Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,econ_themes,hybrid_text,cluster,x,y
13-07-2018,http://www.marketwatch.com/story/gold-futures-lose-about-12-for-the-week-2018-07-13,gold futures lose about 1.2% for the week,0,0,1,0,1,0,negative,"['lose', 'week', 'gold', 'futures', 'gold futures lose']",gold futures lose about 1.2% for the week lose week gold futures gold futures lose,27,-0.0040982068,-0.42541677
08-01-2004,http://www.marketwatch.com/story/gold-copper-prices-head-higher-2004-01-08,"gold, copper prices head higher",1,0,0,1,1,0,positive,"['head', 'higher', 'copper', 'prices head higher', 'gold copper prices']","gold, copper prices head higher head higher copper prices head higher gold copper prices",-1,-0.15991972,0.11988661
04-08-2017,https://economictimes.indiatimes.com/markets/expert-view/gold-will-not-be-in-demand-as-long-as-inflation-is-low-sanjay-shah-hsbc-global-asset-management/articleshow/59914994.cms,"gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management",0,0,1,0,1,0,negative,"['demand long', 'sanjay shah hsbc', 'gold', 'global asset management', 'inflation low']","gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management demand long sanjay shah hsbc gold global asset management inflation low",-1,-0.16801848,0.09347811
11-06-2010,https://economictimes.indiatimes.com/articleshow/6036707.cms,gold futures recover on better global trend,1,0,0,0,1,0,positive,"['better', 'trend', 'recover', 'recover better global', 'gold futures']",gold futures recover on better global trend better trend recover recover better global gold futures,-1,-0.25874352,-0.3170355
15-10-2004,http://www.marketwatch.com/story/gold-prices-up-as-economic-data-fail-to-lift-dollar-2004-10-15,gold prices up as economic data fail to lift dollar,1,0,0,1,1,0,positive,"['fail', 'lift', 'data fail', 'prices economic', 'gold prices economic']",gold prices up as economic data fail to lift dollar fail lift data fail prices economic gold prices economic,-1,-0.099729344,0.18696743
03-01-2019,https://www.metalsdaily.com/link/288120/multiple-fx-pairs-suddenly-flash-crash-yields-tumble-gold-surges.htm,"multiple fx pairs suddenly flash crash, yields tumble, gold surges",0,0,0,0,1,0,none,"['surges', 'yields tumble gold', 'pairs suddenly', 'multiple fx', 'flash crash']","multiple fx pairs suddenly flash crash, yields tumble, gold surges surges yields tumble gold pairs suddenly multiple fx flash crash",-1,-0.17761545,-0.04149197
08-09-2017,https://economictimes.indiatimes.com/markets/commodities/news/special-podcast-gold-hits-10-month-high-should-you-invest/articleshow/60426760.cms,special podcast: gold hits 10-month high; should you invest?,1,0,0,0,1,0,positive,"['10', 'month high', 'gold hits', 'special podcast', 'invest']",special podcast: gold hits 10-month high; should you invest? 10 month high gold hits special podcast invest,-1,-0.11736671,0.028234288
13-02-2004,http://www.marketwatch.com/story/gold-futures-drop-back-under-410,gold futures drop back under $410,0,0,1,0,1,0,negative,"['gold', 'drop', '410', 'futures', 'gold futures drop']",gold futures drop back under $410 gold drop 410 futures gold futures drop,-1,0.060665622,-0.40835643
05-07-2013,https://www.moneycontrol.com/news/business/markets/-1758905.html,gold traders prefer to stay away; prices extend fall,0,0,1,0,1,0,negative,"['away', 'stay', 'extend fall', 'prices extend', 'gold traders prefer']",gold traders prefer to stay away; prices extend fall away stay extend fall prices extend gold traders prefer,-1,-0.17816685,0.01535885
08-10-2015,http://www.marketwatch.com/story/comex-gold-trades-higher-than-the-settlement-after-fomc-minutes-2015-10-08,comex gold trades higher than the settlement after fomc minutes,1,0,0,0,1,0,positive,"['minutes', 'gold', 'comex', 'fomc', 'trades higher settlement']",comex gold trades higher than the settlement after fomc minutes minutes gold comex fomc trades higher settlement,-1,-0.05675506,-0.14564463
20-12-2018,https://www.metalsdaily.com/link/287975/refining-swedish-researchers-melt-gold-at-room-temperature.htm,refining : swedish researchers melt gold at room temperature,0,0,0,0,1,0,none,"['room', 'swedish', 'temperature', 'refining', 'researchers melt gold']",refining : swedish researchers melt gold at room temperature room swedish temperature refining researchers melt gold,-1,-0.11039139,0.079464376
08-05-2017,http://www.marketwatch.com/story/gold-prices-settle-slightly-higher-after-three-session-decline-2017-05-08,Gold prices settle slightly higher after three-session decline,1,0,0,0,1,0,positive,"['slightly', 'session', 'decline', 'prices settle', 'gold prices']",Gold prices settle slightly higher after three-session decline slightly session decline prices settle gold prices,-1,0.06159012,-0.053923786
16-07-2009,http://www.marketwatch.com/story/gold-falls-slightly-3-day-winning-streak-ends-2009-07-16,"gold falls modestly, ending 3-day winning streak",0,0,1,0,1,0,negative,"['modestly', 'ending day', 'streak', 'falls', 'gold']","gold falls modestly, ending 3-day winning streak modestly ending day streak falls gold",-1,-0.04538089,0.069548756
04-05-2011,http://www.marketwatch.com/story/bank-of-mexico-buys-100-tons-of-gold-in-two-months-2011-05-04,bank of mexico buys 100 tons of gold in two months,0,0,0,0,1,0,none,"['months', 'tons', 'buys 100', 'bank', 'mexico']",bank of mexico buys 100 tons of gold in two months months tons buys 100 bank mexico,-1,0.057315633,0.096864484
11-10-2017,http://www.marketwatch.com/story/dec-gold-settles-at-128890oz-down-490-or-04-2017-10-11,"Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4%",0,0,1,0,1,0,negative,"['dec', '288', 'oz', '90 oz 90', 'gold settles']","Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4% dec 288 oz 90 oz 90 gold settles",21,0.5133064,-0.010469392
04-01-2018,https://www.thehindubusinessline.com/markets/gold/gold-falls-from-312month-high/article10010729.ece,Gold falls from 3-1/2-month high,0,0,1,0,1,0,negative,"['high', 'month', 'falls', 'gold', 'falls month']",Gold falls from 3-1/2-month high high month falls gold falls month,-1,0.050790742,0.033820264
14-10-2011,https://www.moneycontrol.com/news/business/stocks/-2081779.html,"Gold, Silver may trade negative today: Angel Commodities",0,0,1,1,0,1,negative,"['today', 'angel', 'negative', 'commodities', 'gold silver trade']","Gold, Silver may trade negative today: Angel Commodities today angel negative commodities gold silver trade",8,-0.08004546,0.15002897
22-01-2013,https://economictimes.indiatimes.com/markets/stocks/news/gold-customs-duty-hike-modestly-positive-for-titan-deutsche-bank/articleshow/18129010.cms,gold customs duty hike modestly positive for titan: deutsche bank,0,0,0,0,1,0,none,"['hike', 'gold', 'deutsche bank', 'customs duty', 'modestly positive titan']",gold customs duty hike modestly positive for titan: deutsche bank hike gold deutsche bank customs duty modestly positive titan,-1,-0.13307934,0.122594535
21-09-2012,https://www.thehindubusinessline.com/markets/gold/gold-slumps-on-profit-booking-silver-gains/article23084166.ece,"Gold slumps on profit booking, silver gains",0,1,0,1,1,0,neutral,"['gains', 'booking', 'silver', 'slumps', 'gold slumps profit']","Gold slumps on profit booking, silver gains gains booking silver slumps gold slumps profit",-1,-0.16504098,0.11684909
06-02-2018,https://www.metalsdaily.com/link/276474/physical-gold-investment-demand-down-23-in-2017.htm,physical : gold investment demand down 23% in 2017,0,0,1,0,1,0,negative,"['physical', '23', '23 2017', 'investment demand', 'gold investment demand']",physical : gold investment demand down 23% in 2017 physical 23 23 2017 investment demand gold investment demand,-1,-0.052780293,0.056549244
20-02-2018,https://www.metalsdaily.com/link/276943/gold-resumes-backing-off-from-1-360-as-equities-slide-in-thin-asia-markets.htm,"gold resumes backing off from 1,360 as equities slide in thin asia markets",0,0,1,0,1,0,negative,"['backing 360', 'equities slide', 'asia', 'resumes backing', 'gold']","gold resumes backing off from 1,360 as equities slide in thin asia markets backing 360 equities slide asia resumes backing gold",-1,-0.17497578,0.089900166
16-05-2014,http://www.investing.com/news/commodities-news/gold-futures-hold-steady-ahead-of-u.s.-data-284749,gold futures hold steady ahead of u.s. data,0,1,0,0,1,0,neutral,"['data', 'hold', 'ahead', 'steady', 'gold futures']",gold futures hold steady ahead of u.s. data data hold ahead steady gold futures,-1,-0.15881678,-0.30073535
26-11-2017,https://economictimes.indiatimes.com/markets/commodities/news/asia-gold-demand-sluggish-as-high-prices-deter-buyers/articleshow/61804684.cms,asia gold demand sluggish as high prices deter buyers,1,0,0,0,1,0,positive,"['high', 'sluggish', 'asia', 'prices deter buyers', 'gold demand']",asia gold demand sluggish as high prices deter buyers high sluggish asia prices deter buyers gold demand,-1,-0.19729368,0.24955043
18-08-2016,http://www.marketwatch.com/story/gold-futures-gain-840-or-06-to-settle-at-135720oz-2016-08-18,"Gold futures gain $8.40, or 0.6%, to settle at $1,357.20/oz",1,0,0,0,1,0,positive,"['gain 40', 'settle 357', 'gold', '20 oz', 'futures']","Gold futures gain $8.40, or 0.6%, to settle at $1,357.20/oz gain 40 settle 357 gold 20 oz futures",-1,0.34208804,-0.28975046
16-07-2013,https://www.moneycontrol.com/news/business/markets/-1705391.html,gold traders put off purchases; prices at 3 week high,1,0,0,0,1,0,positive,"['high', 'week', 'gold', 'purchases prices', 'traders purchases prices']",gold traders put off purchases; prices at 3 week high high week gold purchases prices traders purchases prices,-1,-0.011672735,0.023533449
16-07-2014,http://www.investing.com/news/commodities-news/gold-prices-hit-session-highs-after-u.s.-ppi-data-295408,Gold prices hit session highs after U.S. PPI data,1,0,0,0,1,0,positive,"['hit', 'session', 'highs', 'ppi data', 'gold prices']",Gold prices hit session highs after U.S. PPI data hit session highs ppi data gold prices,-1,-0.09278542,0.053964593
05-04-2015,"http://www.investing.com/news/commodities-news/gold-gain-in-early-asia-as-u.s.-jobs-data-disappoints,-trade-thin-335693","gold gain in early asia as u.s. jobs data disappoints, trade thin",1,0,0,0,1,0,positive,"['disappoints', 'trade', 'jobs data', 'early asia', 'gold gain early']","gold gain in early asia as u.s. jobs data disappoints, trade thin disappoints trade jobs data early asia gold gain early",-1,-0.23071033,0.16603963
28-03-2018,http://www.marketwatch.com/story/april-gold-down-930-or-07-at-133270-an-ounce-2018-03-28,"april gold down $9.30, or 0.7%, at $1,332.70 an ounce",0,0,1,0,1,0,negative,"['30 332 70', '70', 'april', 'gold', 'ounce']","april gold down $9.30, or 0.7%, at $1,332.70 an ounce 30 332 70 70 april gold ounce",21,0.47155523,0.052083686
30-11-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-rate-today-gold-silver-up-in-morning-trade-should-you-buy/articleshow/61860245.cms,"gold rate today: gold, silver up in morning trade; should you buy?",1,0,0,1,1,0,positive,"['today', 'morning', 'rate', 'trade buy', 'gold silver']","gold rate today: gold, silver up in morning trade; should you buy? today morning rate trade buy gold silver",8,-0.033297136,0.10173264
22-09-2016,https://economictimes.indiatimes.com/news/economy/finance/fifth-tranche-of-sovereign-gold-bond-expected-to-cross-rs-820-crore/articleshow/54460906.cms,fifth tranche of sovereign gold bond expected to cross rs 820 crore,0,0,0,0,1,0,none,"['fifth', 'rs 820', 'crore', 'bond expected cross', 'tranche sovereign']",fifth tranche of sovereign gold bond expected to cross rs 820 crore fifth rs 820 crore bond expected cross tranche sovereign,-1,-0.16258256,-0.007123925
21-06-2017,http://www.marketwatch.com/story/gold-futures-prices-mark-first-gain-in-three-sessions-2017-06-21,Gold futures prices mark first gain in three sessions,1,0,0,0,1,0,positive,"['sessions', 'mark', 'gain', 'futures prices', 'gold futures prices']",Gold futures prices mark first gain in three sessions sessions mark gain futures prices gold futures prices,-1,-0.062116906,-0.3483854
16-07-2003,http://www.marketwatch.com/story/toronto-closes-lower-on-tech-tumble-2003-07-16,"techs, gold take down toronto",0,0,1,0,1,0,negative,"['gold', 'techs', 'toronto', 'techs gold', 'gold toronto']","techs, gold take down toronto gold techs toronto techs gold gold toronto",-1,-0.21543297,0.12032856
18-10-2004,http://www.marketwatch.com/story/iamgold-leads-mining-shares-lower-gold-dulls-2004-10-18,iamgold leads mining shares lower; gold dulls,0,0,1,0,1,0,negative,"['gold', 'dulls', 'shares lower', 'leads mining', 'iamgold']",iamgold leads mining shares lower; gold dulls gold dulls shares lower leads mining iamgold,-1,-0.27519906,0.19900422
01-03-2004,http://www.marketwatch.com/story/cboe-gold-index-rises-17-2004-03-01,cboe gold index rises 1.7%,1,0,0,0,1,0,positive,"['rises', 'gold', 'index', 'cboe', 'gold index rises']",cboe gold index rises 1.7% rises gold index cboe gold index rises,6,-0.088400595,0.09403731
24-08-2018,https://www.thehindubusinessline.com/markets/gold/niti-aayog-suggests-slashing-import-duty-gst-rate-on-gold/article24774278.ece,"NITI Aayog suggests slashing import duty, GST rate on gold ",0,0,0,0,1,0,none,"['suggests slashing', 'niti aayog', 'import duty', 'rate gold', 'gst rate']","NITI Aayog suggests slashing import duty, GST rate on gold  suggests slashing niti aayog import duty rate gold gst rate",-1,-0.19488987,0.08810414
13-08-2006,http://www.marketwatch.com/story/december-gold-contract-down-300-to-64140-2006-08-13,december gold contract down $3.00 to $641.40,0,0,1,0,1,0,negative,"['00 641 40', '641', 'december', 'gold', 'contract']",december gold contract down $3.00 to $641.40 00 641 40 641 december gold contract,-1,0.2655406,-0.08196697
27-06-2017,http://www.marketwatch.com/story/august-gold-settles-at-124690oz-up-50-cents-2017-06-27,"August gold settles at $1,246.90/oz, up 50 cents",1,0,0,0,1,0,positive,"['246', 'august', '90 oz', '50 cents', 'gold settles']","August gold settles at $1,246.90/oz, up 50 cents 246 august 90 oz 50 cents gold settles",21,0.50151294,0.08308061
03-05-2017,http://www.marketwatch.com/story/june-gold-falls-850-or-07-to-settle-at-124850oz-2017-05-03,"June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",0,0,1,0,1,0,negative,"['248', 'settle', 'falls', '50 oz', 'june gold']","June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz 248 settle falls 50 oz june gold",21,0.46213388,-0.00059491396
18-01-2011,http://www.marketwatch.com/story/dollar-stays-down-gold-up-after-empire-survey-2011-01-18-836530,"dollar stays down, gold up after empire survey",1,0,0,1,1,0,positive,"['survey', 'stays', 'empire', 'dollar', 'gold empire survey']","dollar stays down, gold up after empire survey survey stays empire dollar gold empire survey",-1,-0.008154303,0.15555131
31-03-2017,http://www.marketwatch.com/story/june-gold-off-480-or-04-at-124320oz-2017-03-31,"June gold off $4.80, or 0.4%, at $1,243.20/oz.",0,0,1,0,1,0,negative,"['243 20', '80', 'june', 'oz', 'gold']","June gold off $4.80, or 0.4%, at $1,243.20/oz. 243 20 80 june oz gold",21,0.43357754,0.10683761
19-05-2010,http://www.marketwatch.com/story/gold-etf-on-track-for-biggest-loss-since-feb-2010-05-19,gold etf on track for biggest loss since feb.,0,0,1,0,1,0,negative,"['track', 'biggest', 'feb', 'loss', 'gold etf']",gold etf on track for biggest loss since feb. track biggest feb loss gold etf,-1,-0.09569522,-0.03342838
16-11-2015,http://www.investing.com/news/commodities-news/gold-edges-higher-on-safe-haven-bids-but-gains-seen-as-short-lived-371475,Gold edges higher on safe-haven bids but gains seen as short-lived,1,0,0,0,1,0,positive,"['safe haven', 'bids', 'gold', 'gains seen short', 'edges higher safe']",Gold edges higher on safe-haven bids but gains seen as short-lived safe haven bids gold gains seen short edges higher safe,-1,-0.16312096,0.031083163
03-03-2009,http://www.marketwatch.com/story/gold-falls-below-930-crude-stock,"gold falls below $930 as crude, stock futures rise",0,0,1,1,1,0,negative,"['930', 'falls', 'crude', 'gold', 'stock futures rise']","gold falls below $930 as crude, stock futures rise 930 falls crude gold stock futures rise",-1,-0.01740349,-0.34208947
13-08-2010,http://www.marketwatch.com/story/gold-closes-with-minor-loss-up-for-week-2010-08-13,"gold closes with minor loss, up for week",1,0,1,0,1,0,positive,"['minor', 'week', 'gold', 'closes', 'closes minor loss']","gold closes with minor loss, up for week minor week gold closes closes minor loss",-1,0.010109529,-0.11026457
08-03-2017,http://www.marketwatch.com/story/april-gold-down-670-or-06-to-settle-at-120940oz-2017-03-08,"April gold down $6.70, or 0.6%, to settle at $1,209.40/oz",0,0,1,0,1,0,negative,"['209 40', 'settle', '40 oz', 'april', 'gold']","April gold down $6.70, or 0.6%, to settle at $1,209.40/oz 209 40 settle 40 oz april gold",21,0.4921313,-0.014110647
13-09-2010,http://www.marketwatch.com/story/gold-mildly-lower-as-safe-haven-flight-wanes-2010-09-13,gold mildly lower as safe-haven flight wanes,0,0,1,0,1,0,negative,"['haven', 'wanes', 'flight', 'lower safe', 'gold mildly lower']",gold mildly lower as safe-haven flight wanes haven wanes flight lower safe gold mildly lower,-1,-0.10219916,0.014402971
30-09-2012,https://www.thehindubusinessline.com/opinion/columns/gnanasekaar-t/article3951931.ece,Comex gold may bounce higher,1,0,0,0,1,0,positive,"['higher', 'bounce', 'gold', 'comex', 'comex gold']",Comex gold may bounce higher higher bounce gold comex comex gold,-1,-0.15819915,0.06302566
10-05-2018,https://www.metalsdaily.com/link/279484/gold-prices-steady-amid-firm-dollar;-iran-tensions-support.htm,gold prices steady amid firm dollar; iran tensions support,0,1,0,1,1,0,neutral,"['steady amid', 'prices', 'iran', 'tensions support', 'gold prices steady']",gold prices steady amid firm dollar; iran tensions support steady amid prices iran tensions support gold prices steady,-1,-0.11271028,0.105946764
10-06-2016,https://www.moneycontrol.com/news/business/markets/why-big-investors-think-its-time-to-hoard-gold-990930.html,why big investors think it's time to hoard gold,0,0,0,0,1,0,none,"['think', 'big', 'time hoard', 'investors', 'hoard gold']",why big investors think it's time to hoard gold think big time hoard investors hoard gold,-1,-0.22390395,0.11091703
18-05-2017,http://www.marketwatch.com/story/june-gold-up-70-cents-or-less-than-01-at-125980oz-2017-05-18,"June gold up 70 cents, or less than 0.1%, at $1,259.80/oz.",1,0,0,0,1,0,positive,"['259', 'june', 'oz', 'gold', '70 cents']","June gold up 70 cents, or less than 0.1%, at $1,259.80/oz. 259 june oz gold 70 cents",21,0.38687295,0.1441605
25-07-2014,http://www.investing.com/news/commodities-news/gold-futures-hover-near-more-than-1-month-lows-297925,Gold futures hover near more than 1-month lows,0,1,0,0,1,0,neutral,"['near', 'month', 'lows', 'hover', 'gold futures']",Gold futures hover near more than 1-month lows near month lows hover gold futures,-1,-0.06188307,-0.38095117
06-01-2017,http://www.marketwatch.com/story/gold-on-track-to-end-4-day-win-streak-but-post-best-week-in-6-months-2017-01-06,"Gold ends lower after jobs report, but scores second straight weekly gain",1,0,1,0,1,0,positive,"['report', 'scores second straight', 'lower jobs', 'weekly gain', 'gold ends']","Gold ends lower after jobs report, but scores second straight weekly gain report scores second straight lower jobs weekly gain gold ends",-1,-0.08386995,0.023788825
20-09-2012,http://www.marketwatch.com/story/can-amazon-turn-out-of-print-books-into-gold-2012-09-20-181032852,can amazon turn out-of-print books into gold?,0,0,0,0,1,0,none,"['turn', 'turn print', 'gold', 'amazon', 'print books']",can amazon turn out-of-print books into gold? turn turn print gold amazon print books,-1,-0.04125777,0.13978142
19-12-2014,https://www.thehindubusinessline.com/markets/gold/gold-futures-rise-to-26849-on-global-cues/article20934436.ece1,"Gold futures rise to 26,849 on global cues",1,0,0,0,1,0,positive,"['rise', 'cues', '26 849', '849 global', 'gold futures']","Gold futures rise to 26,849 on global cues rise cues 26 849 849 global gold futures",22,-0.12831655,-0.28689197
12-10-2011,https://www.moneycontrol.com/news/business/markets/-2099447.html,gold price seen averaging &#36;1770 in q4: gfms,0,1,0,0,1,0,neutral,"['gfms', '36 1770', 'q4', 'seen averaging', 'gold price']",gold price seen averaging &#36;1770 in q4: gfms gfms 36 1770 q4 seen averaging gold price,-1,0.01336059,0.07360497
26-10-2018,https://www.metalsdaily.com/link/286402/coins-buyers-return-to-gold-coin-market.htm,coins : buyers return to gold coin market,0,0,0,0,1,0,none,"['return', 'gold', 'market', 'coins', 'buyers return']",coins : buyers return to gold coin market return gold market coins buyers return,-1,-0.10761707,0.15139219
06-11-2011,https://www.thehindubusinessline.com/opinion/columns/g-chandrashekhar/gold-at-crossroads-awaiting-direction/article23067427.ece,"Gold at crossroads, awaiting direction",0,0,0,0,1,0,none,"['awaiting', 'direction', 'gold', 'crossroads', 'gold crossroads']","Gold at crossroads, awaiting direction awaiting direction gold crossroads gold crossroads",-1,-0.18062516,-0.017876826
14-06-2006,https://economictimes.indiatimes.com/articleshow/1645068.cms,gold's no longer the apple of investor's eye,0,0,0,0,1,0,none,"['longer', 'apple', 'gold', 'longer apple investor', 'investor eye']",gold's no longer the apple of investor's eye longer apple gold longer apple investor investor eye,-1,-0.14091341,0.16212167
04-08-2004,http://www.marketwatch.com/story/spot-gold-quoted-at-392-up-20-cents-from-new-york-2004-08-04,"spot gold quoted at $392, up 20 cents from new york",1,0,0,0,1,0,positive,"['quoted', '392 20', 'york', 'cents new', 'spot gold']","spot gold quoted at $392, up 20 cents from new york quoted 392 20 york cents new spot gold",9,0.24963175,0.11794765
18-09-2017,https://www.thehindubusinessline.com/markets/gold/gold-futures-decline-to-rs-29736/article9863188.ece,"Gold futures decline to Rs 29,736",0,0,1,0,1,0,negative,"['29 736', '29', 'gold', 'futures', 'decline rs']","Gold futures decline to Rs 29,736 29 736 29 gold futures decline rs",23,-0.0068224072,-0.37476236
15-11-2016,http://www.marketwatch.com/story/gold-futures-end-higher-after-6-consecutive-session-declines-2016-11-15,gold futures end higher after 6 consecutive session declines,1,0,0,0,1,0,positive,"['session', 'end', 'higher consecutive', 'declines', 'gold futures']",gold futures end higher after 6 consecutive session declines session end higher consecutive declines gold futures,-1,-0.07747131,-0.4916535
16-02-2012,https://www.moneycontrol.com/news/business/markets/-1978017.html,gold rates in major cities in india,0,0,0,0,1,0,none,"['major', 'rates', 'india', 'gold', 'major cities india']",gold rates in major cities in india major rates india gold major cities india,-1,-0.122128405,0.10122913
30-08-2011,http://www.marketwatch.com/story/gold-adds-42-or-24-to-trade-at-183330oz-2011-08-30,"gold adds $42, or 2.4%, to trade at $1,833.30/oz",1,0,0,0,1,0,positive,"['833 30', 'adds', 'oz', 'adds 42 trade', 'gold']","gold adds $42, or 2.4%, to trade at $1,833.30/oz 833 30 adds oz adds 42 trade gold",-1,0.36770034,0.17336535
15-09-2015,https://www.thehindubusinessline.com/markets/gold/gold-holds-near-1month-low-ahead-of-fed-meeting/article7654838.ece,Gold holds near 1-month low ahead of Fed meeting,0,1,1,0,1,0,negative,"['ahead', 'meeting', 'fed', 'month low', 'gold holds near']",Gold holds near 1-month low ahead of Fed meeting ahead meeting fed month low gold holds near,-1,-0.010443062,-0.09195842
07-04-2016,https://economictimes.indiatimes.com/markets/commodities/premium-on-gold-plummets-traders-strike-impacts-jewellery-sales/articleshow/51728394.cms,premium on gold plummets; traders' strike impacts jewellery sales,0,0,0,0,1,0,none,"['plummets', 'strike impacts', 'premium', 'traders', 'impacts jewellery sales']",premium on gold plummets; traders' strike impacts jewellery sales plummets strike impacts premium traders impacts jewellery sales,-1,-0.16314223,0.1377239
14-11-2011,https://economictimes.indiatimes.com/markets/commodities/gold-hits-new-high-at-rs-29295-on-marriage-season-demand/articleshow/10726718.cms,"gold hits new high at rs 29,295 on marriage season demand",1,0,0,0,1,0,positive,"['29 295', 'season demand', 'high rs', 'marriage', 'gold hits new']","gold hits new high at rs 29,295 on marriage season demand 29 295 season demand high rs marriage gold hits new",-1,-0.079164445,0.15066862
24-04-2008,http://www.marketwatch.com/story/gold-down-670-at-89950-an-ounce-2008-04-24,gold down $6.70 at $899.50 an ounce,0,0,1,0,1,0,negative,"['70 899 50', '50', '70 899', 'gold', 'ounce']",gold down $6.70 at $899.50 an ounce 70 899 50 50 70 899 gold ounce,-1,0.425431,0.08912473
05-10-2017,http://www.marketwatch.com/story/december-gold-rises-02-at-1279oz-2017-10-05,"December gold rises 0.2% at $1,279/oz.",1,0,0,0,1,0,positive,"['rises', '279', 'oz', 'december', 'gold']","December gold rises 0.2% at $1,279/oz. rises 279 oz december gold",21,0.3806349,0.112500414
16-11-2006,http://www.marketwatch.com/story/gold-futures-fall-after-failing-to-reach-630-level-2006-11-16,gold futures fall after failing to reach $630 level,0,0,1,0,1,0,negative,"['level', '630', 'failing reach', 'fall failing', 'gold futures']",gold futures fall after failing to reach $630 level level 630 failing reach fall failing gold futures,-1,-0.03894414,-0.38866013
11-01-2018,http://www.investing.com/news/commodities-news/gold-prices-gain-in-asia-after-chinese-trade-data-mixed-1095342,gold prices gain in asia after chinese trade data mixed,1,0,0,0,1,0,positive,"['trade', 'gain', 'data mixed', 'asia chinese', 'gold prices']",gold prices gain in asia after chinese trade data mixed trade gain data mixed asia chinese gold prices,-1,-0.18412814,0.13613907
25-10-2016,https://www.thehindubusinessline.com/markets/gold/gold-futures-rise-to-rs-29792-on-global-cues/article9265816.ece,"Gold futures rise to Rs 29,792 on global cues",1,0,0,0,1,0,positive,"['rise', 'rs', 'global cues', '29 792', 'gold futures']","Gold futures rise to Rs 29,792 on global cues rise rs global cues 29 792 gold futures",22,-0.17178501,-0.272656
19-08-2016,https://economictimes.indiatimes.com/opinion/interviews/up-close-personal-how-sunny-leonehandles-stocks-land-gold-other-assets/articleshow/53765258.cms,"up close & personal: how sunny leoneï¿½handles stocks, land, gold, other assets",1,0,0,0,1,0,positive,"['close personal sunny', 'gold', '½handles stocks', 'stocks land', 'leoneï']","up close & personal: how sunny leoneï¿½handles stocks, land, gold, other assets close personal sunny gold ½handles stocks stocks land leoneï",-1,-0.101215914,0.14746988
04-01-2011,https://www.moneycontrol.com/news/business/markets/-1326377.html,gold eases from 1-month high on positive us outlook,1,0,0,0,1,0,positive,"['high', 'eases', 'positive', 'outlook', 'gold eases month']",gold eases from 1-month high on positive us outlook high eases positive outlook gold eases month,-1,-0.030004367,0.16712667
01-08-2002,http://www.marketwatch.com/story/gold-stocks-rebound-as-broader-market-dives-2002-08-01,gold stocks rebound as market falls,0,0,1,0,1,0,negative,"['falls', 'gold', 'rebound', 'stocks rebound market', 'gold stocks']",gold stocks rebound as market falls falls gold rebound stocks rebound market gold stocks,-1,-0.22758922,0.11079119
12-10-2012,https://www.moneycontrol.com/news/business/markets/-2003707.html,"experts see bull run in gold, silver, crude & copper",1,0,0,1,0,1,positive,"['experts', 'run', 'crude', 'copper', 'run gold silver']","experts see bull run in gold, silver, crude & copper experts run crude copper run gold silver",-1,-0.24127296,0.014545828
01-11-2011,https://www.moneycontrol.com/news/business/markets/-1946493.html,MCX GOLD Dec contract firms up,1,0,0,0,1,0,positive,"['dec', 'gold', 'firms', 'mcx', 'contract firms']",MCX GOLD Dec contract firms up dec gold firms mcx contract firms,1,-0.1751814,0.011353187
06-12-2016,http://www.marketwatch.com/story/gold-faces-back-to-back-drop-2016-12-06,Gold prices suffer back-to-back drop,0,0,1,0,1,0,negative,"['suffer', 'prices', 'drop', 'gold', 'gold prices']",Gold prices suffer back-to-back drop suffer prices drop gold gold prices,-1,-0.052332073,0.046125993
08-05-2006,http://www.marketwatch.com/story/june-gold-falls-6-to-67830oz-after-673-low-2006-05-08,june gold falls $6 to $678.30/oz after $673 low,0,0,1,0,1,0,negative,"['678 30', 'falls', 'june', 'gold', '30 oz']",june gold falls $6 to $678.30/oz after $673 low 678 30 falls june gold 30 oz,21,0.43952584,0.07116391
04-04-2017,http://www.marketwatch.com/story/gold-settles-up-440-or-04-at-125840-an-ounce-2017-04-04,"gold settles up $4.40, or 0.4%, at $1,258.40 an ounce",1,0,0,0,1,0,positive,"['40 258 40', 'settles', '40 258', 'gold', 'ounce']","gold settles up $4.40, or 0.4%, at $1,258.40 an ounce 40 258 40 settles 40 258 gold ounce",21,0.45203322,0.070847906
12-02-2016,http://www.marketwatch.com/story/april-gold-settled-at-123940oz-down-840-for-the-session-2016-02-12,"april gold settled at $1,239.40/oz, down $8.40 for the session",0,0,1,0,1,0,negative,"['session', '40 oz 40', 'april', 'gold', 'settled 239']","april gold settled at $1,239.40/oz, down $8.40 for the session session 40 oz 40 april gold settled 239",-1,0.45594978,0.019972943
03-11-2010,http://www.marketwatch.com/story/gold-silver-add-to-losses-after-macro-data-2010-11-03,"gold settles lower, at $1,337.60 an ounce",0,0,1,0,1,0,negative,"['337 60', 'lower', 'gold', '60 ounce', 'gold settles']","gold settles lower, at $1,337.60 an ounce 337 60 lower gold 60 ounce gold settles",21,0.41030252,-0.007181838
