,Dates,News,original_sentiment,VADER_sentiment
2961,16-09-2012,idbi mutual fund mops up rs 94 crore from first gold fund-of-fund scheme,none,0.0
2962,10-12-2013,"february gold rises nearly $22 to $1,256/oz",positive,0.0
2963,26-05-2017,Gold futures rule firm,none,0.0
2964,12-01-2018,gold may jump over 20% as investors eye inflation,positive,0.0
2965,13-09-2017,Gold prices mark lowest finish month to date,negative,-0.3818
2966,27-04-2011,"gold, oil futures post modest gains",positive,0.34
2967,15-10-2018,india : domestic price of gold may rise up to 3% by diwali as rupee weakens,positive,-0.3182
2968,24-04-2014,gold prices gain in asia as events in ukraine support,positive,0.7269
2969,26-11-2013,mcx goldpetal january contract trades firm,none,0.0
2970,09-04-2018,cryptocurrency traders use old gold in drive to draw muslim investors,none,0.0
2971,10-05-2005,"gold kist quaterly earnings rise, sales slip",none,0.0
2972,12-10-2012,"credit suisse lifts '13 gold view 7% to $1,840-oz.",none,0.3818
2973,25-06-2014,gold futures mark sixth straight session gain,positive,0.6486
2974,24-11-2011,"gold down by rs 150, silver by rs 1,170 on reduced offtake",negative,0.0
2975,10-02-2012,stocks will outperform gold and bonds: warren buffett,none,0.0
2976,08-06-2012,Gold futures trading weak,negative,-0.4404
2977,08-08-2018,bis gold market intervention increased by 17% in july,none,0.2732
2978,08-01-2010,gold declines on profit-selling,negative,0.0
2979,10-10-2014,"gold dips as dollar gains, though dovish fed language supports",negative,0.5994
2980,19-12-2013,gold futures fall 0.49 pc on global cues,negative,0.0
2981,27-03-2017,Gold ends at a 1-month high as traders shy away from risky assets,positive,-0.2732
2982,09-02-2018,"april gold falls $3.30, or 0.3%, to settle at $1,315.70/oz",negative,0.0
2983,05-10-2017,gold little changed in quiet trade ahead of us jobs data,neutral,0.0
2984,31-07-2014,Gold prices up in Asia as bargain hunters snap up supplies,positive,0.2023
2985,23-07-2014,"Gold inches up with Gaza, Ukraine worries in spotlight",positive,-0.4215
2986,02-06-2011,gold turns lower as dollar index off session lows,negative,-0.4588
2987,12-12-2006,gold ends lower ahead of fed decision on interest rates,negative,0.2023
2988,11-11-2010,"dec. gold falls $8.40 to $1,394.90/oz on globex",negative,0.0
2989,12-10-2018,Gold futures slip on weak global cues,negative,-0.4404
2990,02-02-2006,spot gold quoted at $572.80 in asia trade,positive,0.0
2991,26-10-2017,"December gold down 0.1% at $1,277/oz.",negative,0.0
2992,05-10-2016,"Dec. gold climbs by $1, or less than 0.1%, to $1,270.70/oz",positive,0.0
2993,14-12-2006,"gold prices post modest gains as traders eye dollar, oil",positive,0.34
2994,15-09-2006,"crude, gold futures reverse course to trade higher",positive,-0.5719
2995,09-06-2011,gold inches up after ecb vigilant on inflation,positive,0.1779
2996,03-04-2005,spot gold quoted at $426.20 in asia trade,positive,0.0
2997,13-07-2017,"UPDATE: Gold ticks slightly higher after jobless-claims, PPI reports",positive,0.0
2998,04-09-2013,"gold drops under $1,400 to a nearly two-week low",negative,-0.2732
2999,27-02-2017,gold to trade in 29456-29732 range: achiievers equities,neutral,0.0
3000,31-10-2014,Gold tanks on global crash; silver sinks,negative,-0.4019
3001,24-03-2018,Gold valued at over Rs 50 lakh seized in 5 separate cases,none,0.4404
3002,27-08-2012,"oil, gold reverse course to trade lower",negative,-0.296
3003,07-06-2017,"Profit-booking, weak global cues pull gold, silver futures down",negative,-0.4404
3004,08-09-2005,cboe gold index closes at highest level since march,positive,0.0
3005,12-10-2011,Gold Rates: Prices in major cities in India,none,0.0
3006,08-02-2018,"gold prices up as china central bank pumps up liquidity, prices data stable",positive,0.296
3007,05-04-2017,Gold settles lower as robust economic data boost risky assets,negative,0.4215
3008,06-06-2018,"charts : gold price outlook fails to turn bullish, downside resolution possible",none,-0.5859
3009,03-09-2018,"Gold drops to Rs 31,250; silver slumps below Rs 38K-mark",negative,0.0
3010,30-10-2009,gold loss moderates after consumer sentiment rise,negative,-0.3182
3011,07-03-2016,"gold trades lower, after an earlier rise to as high as $1,274.10",negative,-0.296
3012,23-06-2014,"Gold down modestly, but holds above $1,300 on Iraq turmoil",negative,-0.5023
3013,05-03-2009,gold futures up $6.00 at $912.70 an ounce,positive,0.0
3014,17-01-2017,"Feb. gold settles at $1,212.90/oz, up $16.70, or 1.4%",positive,0.0
3015,04-09-2017,"Gold futures climb to Rs 30,064 per 10 gm",positive,0.0
3016,18-11-2009,"gold, silver hit historic highs on global demand",positive,-0.128
3017,15-05-2013,paulson maintains holdings in spdr gold trust: 13f,none,0.5106
3018,22-11-2017,Gold holds near settlement price in electronic trading after FOMC minutes,negative,0.0
3019,05-06-2017,russian gold producer polyus returning to lse,none,0.0
3020,01-11-2016,"Dec. gold settles at $1,288/oz, up $14.90, or 1.2%",positive,0.0
3021,26-07-2011,"gold notches record, settles at $1,616.80 an ounce",positive,0.0
3022,18-01-2012,fresnillo tops 2011 gold output targets,none,0.5106
3023,24-03-2016,gold trims losses after u.s. durable goods data disappoints,negative,-0.6486
3024,12-07-2018,supply : world running out of gold & there's no substitute,none,-0.296
3025,24-06-2004,gold atop $400 for 1st time since april,positive,0.0
3026,25-03-2007,gold prices down after traders book  profits on gains,negative,0.6486
3027,06-08-2012,"gold at 30,000 rupees; traders stay away",neutral,0.0
3028,19-11-2015,"gold prices gain in asia on political risk, fed outlook weighs",positive,0.3182
3029,30-11-2011,MCX GOLDPETAL Nov contract gains,positive,0.34
3030,30-04-2013,sell mcx gold june fut; target rs 26850: emkay,none,0.0
3031,26-04-2006,"june gold closes at $642/oz, up $7.80 for the day",positive,0.0
3032,31-01-2007,feb. gold tops $650 for first time since jan. 25,positive,0.5106
3033,29-03-2017,Gold extends retreat from a 1-month high,positive,0.3182
3034,11-02-2016,"Gold futures jump to Rs 28,655 on firm global cues",positive,0.0
3035,18-06-2014,"Gold, silver decline in cautious trade ahead of Fed statement",negative,-0.1027
3036,16-12-2002,gold stocks jump-start bay street,positive,0.0
3037,19-11-2009,"gold futures down $5 at $1,136.2/oz after data",negative,0.0
3038,11-07-2016,"Gold turns pricier, but discounts get deeper for jewellers",positive,0.0
3039,08-11-2017,Gold futures settle at highest level in nearly 3 weeks,positive,0.0
3040,30-11-2005,spot gold quoted at $493 in asia trade,none,0.0
3041,27-07-2016,gold turns positive after weak u.s. data; fed outcome ahead,positive,0.1779
3042,23-02-2009,"gold falls as equities rise, may test $1,050",negative,0.0
3043,13-07-2016,silver back at two-year high as gold marks first gain in five sessions,positive,0.5267
3044,18-02-2004,philadelphia gold & silver index falls 2.7%,negative,0.0
3045,01-02-2013,"gold up in wake of jobs data, scores weekly gain",positive,0.5267
3046,25-07-2011,gold hits record as us deficit talks stall,none,-0.5423
3047,28-02-2017,"April gold down 20 cents to trade at $1,258.60/oz",negative,0.0
3048,08-06-2017,Gold prices end at 1-week low,negative,-0.2732
3049,02-09-2004,"gold, nortel weigh on bay street",none,0.0
3050,05-06-2017,"August gold settles at $1,282.70/oz, up $2.50, or 0.2%",positive,0.0
3051,14-10-2009,gold retreats after hitting new high,positive,0.0
3052,05-10-2011,trading strategies on gold: geojit comtrade,none,0.0
3053,03-02-2013,"create superior substitute for gold investments: rana kapoor, yes bank",none,0.8074
3054,01-03-2006,gold kist cut to neutral at j.p. morgan,negative,-0.2732
3055,05-11-2008,gold futures fall 1%; copper down 5%,negative,0.0
3056,08-07-2010,"august gold falls $5.7, or 0.5%, to $1,193.2/oz",negative,0.0
3057,26-08-2016,Gold holds gains after second-estimate of GDP,positive,0.34
3058,15-12-2008,"feb. gold ends up 2% at $836.50, highest since oct. 15",positive,0.0
3059,22-02-2018,rates : gold prices 'hit by deep link' to real yields but 'should gain' on inflation,negative,0.6808
3060,31-08-2017,Gold futures climb roughly 4% for the month,positive,0.0
3061,16-09-2016,"Dec. gold falls $7.80, or 0.6%, to settle at $1,310.20/oz",negative,0.0
3062,21-08-2013,"gold futures rebound, up 1.30% as re plunges to new low",positive,-0.2732
3063,25-04-2006,gold futures rise as much as $12 in morning trading,positive,0.0
3064,22-06-2017,"August gold trades up $8.40, or 0.7%, at $1,254.10/oz.",positive,0.0
3065,02-05-2011,india gold falls over 1%; attracts physical traders,negative,0.4019
3066,06-09-2005,gold prices edge up for a fourth session,positive,0.0
3067,24-07-2006,gold futures down $5.20 at $615 an ounce,negative,0.0
3068,14-12-2017,Gold Prices Trim Gains but Remain Supported,negative,0.5647
3069,09-05-2018,china c.bank issues draft guidelines for online gold business -exchange,none,0.0
3070,29-09-2002,attention turns to small gold producers at denver forum,none,0.0
3071,13-07-2018,gold futures lose about 1.2% for the week,negative,-0.4019
3072,08-01-2004,"gold, copper prices head higher",positive,0.0
3073,04-08-2017,"gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management",negative,0.195
3074,11-06-2010,gold futures recover on better global trend,positive,0.4404
3075,15-10-2004,gold prices up as economic data fail to lift dollar,positive,-0.5423
3076,03-01-2019,"multiple fx pairs suddenly flash crash, yields tumble, gold surges",none,-0.4019
3077,08-09-2017,special podcast: gold hits 10-month high; should you invest?,positive,0.4019
3078,13-02-2004,gold futures drop back under $410,negative,-0.2732
3079,05-07-2013,gold traders prefer to stay away; prices extend fall,negative,0.1779
3080,08-10-2015,comex gold trades higher than the settlement after fomc minutes,positive,0.0
3081,20-12-2018,refining : swedish researchers melt gold at room temperature,none,0.0
3082,08-05-2017,Gold prices settle slightly higher after three-session decline,positive,0.0
3083,16-07-2009,"gold falls modestly, ending 3-day winning streak",negative,0.5267
3084,04-05-2011,bank of mexico buys 100 tons of gold in two months,none,0.0
3085,11-10-2017,"Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4%",negative,0.0
3086,04-01-2018,Gold falls from 3-1/2-month high,negative,0.0
3087,14-10-2011,"Gold, Silver may trade negative today: Angel Commodities",negative,-0.5719
3088,22-01-2013,gold customs duty hike modestly positive for titan: deutsche bank,none,0.5574
3089,21-09-2012,"Gold slumps on profit booking, silver gains",neutral,0.6486
3090,06-02-2018,physical : gold investment demand down 23% in 2017,negative,-0.128
3091,20-02-2018,"gold resumes backing off from 1,360 as equities slide in thin asia markets",negative,0.0258
3092,16-05-2014,gold futures hold steady ahead of u.s. data,neutral,0.0
3093,26-11-2017,asia gold demand sluggish as high prices deter buyers,positive,-0.4939
3094,18-08-2016,"Gold futures gain $8.40, or 0.6%, to settle at $1,357.20/oz",positive,0.5267
3095,16-07-2013,gold traders put off purchases; prices at 3 week high,positive,0.0
3096,16-07-2014,Gold prices hit session highs after U.S. PPI data,positive,0.0
3097,05-04-2015,"gold gain in early asia as u.s. jobs data disappoints, trade thin",positive,0.2023
3098,28-03-2018,"april gold down $9.30, or 0.7%, at $1,332.70 an ounce",negative,0.0
3099,30-11-2017,"gold rate today: gold, silver up in morning trade; should you buy?",positive,0.0
3100,22-09-2016,fifth tranche of sovereign gold bond expected to cross rs 820 crore,none,0.0
3101,21-06-2017,Gold futures prices mark first gain in three sessions,positive,0.5267
3102,16-07-2003,"techs, gold take down toronto",negative,0.0
3103,18-10-2004,iamgold leads mining shares lower; gold dulls,negative,-0.25
3104,01-03-2004,cboe gold index rises 1.7%,positive,0.0
3105,24-08-2018,"NITI Aayog suggests slashing import duty, GST rate on gold ",none,-0.2732
3106,13-08-2006,december gold contract down $3.00 to $641.40,negative,0.0
3107,27-06-2017,"August gold settles at $1,246.90/oz, up 50 cents",positive,0.0
3108,03-05-2017,"June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",negative,0.0
3109,18-01-2011,"dollar stays down, gold up after empire survey",positive,0.0
3110,31-03-2017,"June gold off $4.80, or 0.4%, at $1,243.20/oz.",negative,0.0
3111,19-05-2010,gold etf on track for biggest loss since feb.,negative,-0.3182
3112,16-11-2015,Gold edges higher on safe-haven bids but gains seen as short-lived,positive,0.4767
3113,03-03-2009,"gold falls below $930 as crude, stock futures rise",negative,-0.5719
3114,13-08-2010,"gold closes with minor loss, up for week",positive,-0.3182
3115,08-03-2017,"April gold down $6.70, or 0.6%, to settle at $1,209.40/oz",negative,0.0
3116,13-09-2010,gold mildly lower as safe-haven flight wanes,negative,-0.296
3117,30-09-2012,Comex gold may bounce higher,positive,0.0
3118,10-05-2018,gold prices steady amid firm dollar; iran tensions support,neutral,0.0
3119,10-06-2016,why big investors think it's time to hoard gold,none,0.0
3120,18-05-2017,"June gold up 70 cents, or less than 0.1%, at $1,259.80/oz.",positive,0.0
3121,25-07-2014,Gold futures hover near more than 1-month lows,neutral,-0.2648
3122,06-01-2017,"Gold ends lower after jobs report, but scores second straight weekly gain",positive,0.7469
3123,20-09-2012,can amazon turn out-of-print books into gold?,none,0.1779
3124,19-12-2014,"Gold futures rise to 26,849 on global cues",positive,0.0
3125,12-10-2011,gold price seen averaging &#36;1770 in q4: gfms,neutral,0.0
3126,26-10-2018,coins : buyers return to gold coin market,none,0.0
3127,06-11-2011,"Gold at crossroads, awaiting direction",none,0.0
3128,14-06-2006,gold's no longer the apple of investor's eye,none,-0.296
3129,04-08-2004,"spot gold quoted at $392, up 20 cents from new york",positive,0.0
3130,18-09-2017,"Gold futures decline to Rs 29,736",negative,0.0
3131,15-11-2016,gold futures end higher after 6 consecutive session declines,positive,0.0
3132,16-02-2012,gold rates in major cities in india,none,0.0
3133,30-08-2011,"gold adds $42, or 2.4%, to trade at $1,833.30/oz",positive,0.0
3134,15-09-2015,Gold holds near 1-month low ahead of Fed meeting,negative,-0.2732
3135,07-04-2016,premium on gold plummets; traders' strike impacts jewellery sales,none,-0.128
3136,14-11-2011,"gold hits new high at rs 29,295 on marriage season demand",positive,-0.128
3137,24-04-2008,gold down $6.70 at $899.50 an ounce,negative,0.0
3138,05-10-2017,"December gold rises 0.2% at $1,279/oz.",positive,0.0
3139,16-11-2006,gold futures fall after failing to reach $630 level,negative,-0.4939
3140,11-01-2018,gold prices gain in asia after chinese trade data mixed,positive,0.5267
3141,25-10-2016,"Gold futures rise to Rs 29,792 on global cues",positive,0.0
3142,19-08-2016,"up close & personal: how sunny leoneï¿½handles stocks, land, gold, other assets",positive,0.5423
3143,04-01-2011,gold eases from 1-month high on positive us outlook,positive,0.7096
3144,01-08-2002,gold stocks rebound as market falls,negative,0.0
3145,12-10-2012,"experts see bull run in gold, silver, crude & copper",positive,-0.5719
3146,01-11-2011,MCX GOLD Dec contract firms up,positive,0.0
3147,06-12-2016,Gold prices suffer back-to-back drop,negative,-0.6808
3148,08-05-2006,june gold falls $6 to $678.30/oz after $673 low,negative,-0.2732
3149,04-04-2017,"gold settles up $4.40, or 0.4%, at $1,258.40 an ounce",positive,0.0
3150,12-02-2016,"april gold settled at $1,239.40/oz, down $8.40 for the session",negative,0.0
3151,03-11-2010,"gold settles lower, at $1,337.60 an ounce",negative,-0.296
3152,24-06-2011,india gold extends losses; physical trading still dull,negative,-0.5994
3153,10-09-2012,patagonia gold lifts cap-oeste resource estimate,positive,0.0
3154,07-12-2017,gold prices settle at lowest since late july,negative,-0.3818
3155,10-04-2013,gold has strong resistance at usd 1664.5: mangal keshav,neutral,0.5106
3156,29-12-2016,"Gold futures extend rally to fourth session, close up 1.5%",positive,0.1779
3157,23-02-2004,gold futures edge up after steep drop,positive,-0.2732
3158,21-11-2018,"world gold council, mmtc-pamp launch india's first precious metals assay and training institute",none,0.5719
3159,10-08-2017,"Gold post back-to-back gains, ends at 2-month high",positive,0.34
3160,12-11-2008,december gold down $2.30 to $730.50 an ounce on globex,negative,0.0
3161,17-01-2017,Outlook stays bullish for gold,positive,0.0
3162,23-09-2018,gold vs bitcoin: which one is the better investment?,none,0.4404
3163,10-12-2007,gold futures rally nearly 2% on dollar weakness,positive,-0.4215
3164,12-12-2017,sharps pixley: gold facing severe headwinds despite overvalued dollar - murenbeeld,none,-0.3818
3165,26-07-2013,"gold futures down 0.6% on day, up 2.2% on week",negative,0.0
3166,11-08-2011,gold shares responding (finally)?,none,0.296
3167,16-10-2017,Gold holds slight gain after Empire State manufacturing report,positive,0.4779
3168,20-02-2013,mcx goldpetal march contract trades lower,negative,-0.296
3169,08-04-2013,gold edges lower; traders seek more falls,negative,-0.296
3170,03-12-2007,gold ends higher after last week's steep fall,positive,0.0
3171,10-04-2007,"gold rises on dollar weakness, trade tensions",positive,-0.6705
3172,17-06-2011,"gold, silver settle higher on greece turmoil",positive,-0.3612
3173,11-08-2005,gold ends atop $450 at 5-month high,positive,0.0
3174,06-10-2017,"Gold for December delivery off 0.4% at $1,268.00 vs $1,270 before data",none,0.0
3175,06-08-2016,"risk-on sentiment did trigger correction in gold, but yellow metal in a sweet spot",none,0.6124
3176,01-05-2003,meridian gold up 6.1% in $xau,positive,0.0
3177,04-04-2014,Gold futures rise but remain near 1-1/2 month lows,positive,-0.296
3178,10-11-2016,"Dec. gold falls $7.10, or 0.6%, to settle at $1,266.40/oz",negative,0.0
3179,21-06-2017,"August gold gains $2.30, or 0.2%, to settle at $1,245.80/oz",positive,0.34
3180,22-01-2009,"gold futures fall after gloomy data on housing, jobs",negative,-0.1531
3181,18-03-2014,"april gold down $20.60 at $1,352.30 an ounce",negative,0.0
3182,19-09-2018,"Gold rallies on positive global cues, jewellers' buying",positive,0.5574
3183,23-07-2009,spot gold rises $1 to $949/troy ounce,positive,0.0
3184,01-06-2011,gold is the only place for new money in june,none,0.0
3185,09-10-2018,"Commodity Outlook: Gold may rest easy at Rs 31,100",none,0.4404
3186,28-06-2006,gold futures close down $3.40 at $581 an ounce,negative,0.0
3187,18-10-2016,gold to trade in 29546-29814 range: achiievers equities,neutral,0.0
3188,11-12-2017,gold bullion premiums at multi-year lows,negative,-0.2023
3189,21-12-2015,"Gold adds to gains on softer equities, dollar",positive,0.34
3190,12-05-2017,gold to trade in 27849-28171: achiievers equities,neutral,0.0
3191,10-08-2006,gold falls as traders scramble to assess news of terror plot,negative,-0.5267
3192,29-11-2011,gold rallies for third day; up by rs 40 on seasonal demand,positive,-0.128
3193,30-10-2012,"gold reverses losses on equity, econ concerns stay",none,-0.4019
3194,31-03-2014,Gold holds modest losses after Chicago PMI miss,negative,-0.5106
3195,29-11-2011,"Gold prices slip in Mumbai, Ahmedabad market",negative,0.0
3196,19-03-2015,gold off the highs as u.s. dollar fights back,positive,-0.4019
3197,04-11-2011,Gold moves up further,positive,0.0
3198,06-12-2016,Gold futures log second straight session of losses,negative,-0.2023
3199,08-03-2013,can you buy gold in your ira?,none,0.0
3200,24-10-2014,Gold gains on soft U.S. home sales data,positive,0.34
3201,16-05-2013,"gold down $21.60, or 1.6%, to $1,374.80 ounce",negative,0.0
3202,03-01-2017,Gold starts 2017 on positive note,positive,0.5574
3203,01-08-2012,"gold, silver fall on subdued demand, global cues",negative,-0.128
3204,09-04-2008,june gold ends up $19.50 at $937.50 an ounce on nymex,positive,0.0
3205,09-03-2015,gold futures mark first gain in six sessions,positive,0.5267
3206,0201-03-29,"june gold spikes 1.4% to $1,238.90/oz after fed yellen's remarks",positive,0.0
3207,11-10-2011,"gold advances on investment demand, silver declines",positive,-0.128
3208,24-02-2014,the worst may be over for yamana gold,none,-0.6249
3209,15-04-2014,"gold falls below $1,300 an ounce; off 2.7% at $1,291.80",negative,0.0
3210,09-08-2004,"spot gold quoted at $399, down $1.30 from new york",negative,0.0
3211,03-12-2012,Gold gleams as rupee slips,positive,0.0
3212,05-11-2007,"gold, silver down on fresh offerings",negative,0.3182
3213,02-09-2015,"dec. gold falls $6.20, or 0.5%, to settle at $1,133.60/oz on comex",negative,0.0
3214,09-10-2011,"Gold, silver prices improve on physical demand",positive,0.34
3215,19-07-2012,gold trades higher after three straight losses,positive,-0.2023
3216,14-02-2018,Expect Gold prices to trade positive: Sushil Finance,positive,0.5574
3217,19-12-2013,mcx gold april contract slips 1.2%,negative,0.0
3218,19-01-2012,mcx gold feb contract up slightly,positive,0.0
3219,08-07-2016,"Gold eases ahead of US jobs data, but eyes 6th weekly gain",positive,0.7391
3220,12-06-2017,Gold prices decline for 4th session in a row,negative,0.0
3221,19-01-2017,"Gold futures log biggest one-day loss of the year, but hold above $1,200 an ounce",negative,-0.1655
3222,14-12-2011,gold falls 2.4% as euro slips and dollar gains,negative,0.34
3223,07-10-2016,Gold futures lose 5% for the week,negative,-0.4019
3224,31-07-2012,"gold seen extending gains, nearing peak",positive,0.34
3225,21-07-2011,gold futures steady ahead of key greek debt talks,neutral,-0.3612
3226,22-06-2018,"Gold futures down at Rs 30,864 per 10 gm",negative,0.0
3227,21-09-2018,Gold hits near 1-week high as easing trade concerns hurt dollar,positive,-0.34
3228,14-10-2016,"gold futures fall for the session, but edge up for the week",positive,0.0
3229,12-11-2003,"dec gold touches $397, highest since may 1996",positive,0.0
3230,13-09-2007,dec. gold falls $2.80 to close at $717.90/oz,negative,0.0
3231,03-02-2016,Gold sticks near 3-month high as risk aversion in play,positive,-0.3818
3232,18-02-2014,Report: India's gold demand up 13% at 975 tonnes in 2013,none,-0.128
3233,03-03-2017,"Gold ends with a loss, prices suffer weekly drop of 2.5%",negative,-0.7845
3234,06-11-2017,Gold jumps by the most in 6 weeks as crude oil rallies,positive,-0.5719
3235,07-04-2014,gold falls as investors lock in gains from soft u.s. jobs data,negative,0.34
3236,04-10-2017,"Dec. gold pares gains, up 0.1% at $1,275.90/oz after ISM services data",positive,0.34
3237,06-12-2004,"feb gold closes at $455.90/oz, down $1.90 for the day",negative,0.0
3238,20-04-2004,gold prices fall back under $400; freeport shares down,negative,0.296
3239,07-12-2017,gold slides to 4-month low as dollar edges up,negative,-0.2732
3240,17-07-2017,"Gold ends above key $1,230 level as investors weigh interest-rate outlook",positive,0.0
3241,26-07-2007,gold futures drop $22 in two sessions,negative,-0.2732
3242,21-11-2018,Gold gains as dollar slips on US jobs data,positive,0.34
3243,09-04-2018,marriage of gold and crypto: a match made in investment heaven?,none,0.5106
3244,29-11-2010,gold settles higher on european debt woes,positive,-0.6597
3245,28-08-2015,Gold eyes worst week in five as strong US data fuels Fed hike view,negative,-0.2023
3246,17-10-2011,"diwali 2011: gold coins, jewellery bookings up on price worries",positive,-0.4215
3247,21-01-2013,Gold climbs to one-month high on Japan stimulus hope,positive,0.4404
3248,04-06-2013,new rbi gold norms to curb imports by 32%: motilal oswal,none,0.0
3249,09-03-2017,gold steady near five-week low ahead of us jobs data,neutral,-0.2732
3250,16-08-2017,Gold settles with a gain after turning higher near the session's end,positive,0.5267
3251,22-12-2014,"Gold struggles below $1,200 as equities, dollar gain",negative,0.2263
3252,24-04-2015,gold jewellery exports rise to rs 35k crore in apr-jan,none,0.0
3253,21-05-2013,Gold regains 26k level; silver surges on fresh buying,positive,0.3182
3254,30-04-2018,wells fargo : silver has more upside potential than gold,positive,0.25
3255,17-04-2012,go long on gold; stop loss below rs 28400: nirmal bang,negative,-0.5423
3256,04-09-2007,gold futures close above $690 at six-week high,positive,0.0
3257,20-02-2014,"april gold down 0.5% to $1,314.50 an ounce",negative,0.0
3258,17-10-2018,gold futures remain slightly lower after housing data,negative,-0.228
3259,0200-03-19,"gold futures, metals shares turn lower",negative,0.0
3260,15-11-2012,"ventura commodities remains bullish on gold, crude",positive,-0.5719
3261,07-07-2014,gold dips on u.s. rate-hike uncertainty,negative,-0.34
3262,08-11-2012,"gold holds near &#36;1,715/oz, focus shifts to euro zone",neutral,0.0
3263,06-11-2017,gold prices move down rs 115 after safe haven appeal hit,negative,0.4404
3264,23-07-2015,mcx gold october contract gains,positive,0.34
3265,01-09-2016,"Dec. gold settles at $1,317.10/oz, up $5.70, or 0.4%",positive,0.0
3266,18-06-2004,"spot gold bid at $389 an ounce, up 30c",positive,0.0
3267,13-09-2015,Gold / Silver / Copper futures - weekly outlook: September 14 - 18,none,0.0
3268,03-02-2017,"Gold ends higher, books best weekly gain in seven months",positive,0.8225
3269,24-02-2005,meridian gold upped to 'overweight' at j.p. morgan,positive,-0.3612
3270,26-09-2014,Gold rebounds from 9-month low as US equities slide,negative,-0.2732
3271,25-11-2016,"Gold futures end lower, log a roughly 2% drop for week; silver slips for week",negative,-0.5106
3272,07-05-2018,gold prices flat as prospect of further fed rate hikes weigh,neutral,0.296
3273,15-11-2017,Gold prices mark first loss in three sessions,negative,-0.3182
3274,02-12-2016,"Gold futures tally weekly loss of 0.1%, based on most-active contracts",negative,-0.3182
3275,26-09-2017,Gold prices to trade higher Angel Commodities,positive,0.0
3276,17-06-2014,gold futures snap 6-session winning streak,negative,0.5267
3277,19-07-2018,gold looks to stage a modest recovery amid highly oversold conditions,positive,0.0
3278,08-07-2013,"trading strategies on gold, silver, nickel & copper",none,0.0
3279,09-02-2012,gold futures move up on global cues,positive,0.0
3280,14-11-2018,"dec. gold climbs by $8.70, or 0.7%, to settle at $1,210.10/oz",positive,0.0
3281,11-04-2017,CME Group is launching a gold-trading platform inspired by bitcoin,none,0.4939
3282,28-10-2005,gold ends with a nearly $6 weekly gain,positive,0.5267
3283,23-11-2016,Gold drops to lowest finish since early February,negative,-0.3818
3284,22-04-2016,starbucks loyalty program wins gold stars from most but not all analysts,none,0.5574
3285,02-09-2011,a split between east and west over gold's future?,none,0.0
3286,23-10-2017,gold hits 2-week low as dollar rallies vs yen,negative,-0.2732
3287,07-11-2013,mcx goldguinea december contract trades firm,none,0.0
3288,13-05-2015,gains for gold futures intensify as u.s. dollar loses more ground,positive,0.0258
3289,30-07-2018,gold notches 3rd straight loss ahead of fed meeting,negative,-0.1027
3290,06-09-2018,bnp paribas : gold is excellent way to hedge for longer term,none,0.5719
3291,22-06-2000,gold slightly lower,negative,-0.228
3292,21-10-2016,Acacia Mining lifts FY gold production guidance,none,0.0
3293,24-06-2015,gold prices gain in asia as investors await more greece debt news,positive,0.2551
3294,01-06-2016,"Gold extends gains as dollar, Asian stocks weaken",positive,0.0258
3295,19-07-2017,gold takes a breather after rallying to 3-week highs,positive,0.0
3296,24-11-2004,"dec gold closes at $449.30/oz, up $1.40 for the day",positive,0.0
3297,24-07-2017,"Gold settles lower, ending 6-session streak of gains",negative,0.0516
3298,06-07-2017,Gold dips as Fed minutes signal no consensus on rate hikes,negative,-0.296
3299,16-07-2018,sharps pixley: china's gold reserves - fact or fiction?,none,0.0
3300,17-09-2014,Gold moves lower as market digests Fed statement,negative,-0.296
3301,22-12-2017,germany : sharing risks to counter germany's plans seeing target2 collaterilazation with gold reserves,none,0.1779
3302,17-08-2017,surge in gold imports: government notifies rules for safeguard probes against south korea,none,0.3818
3303,28-06-2016,gold prices to move higher towards 31870 levels: choice equity,positive,0.0
3304,15-12-2017,"gold steady amid subdued dollar, poised for weekly gain",neutral,0.6597
3305,31-07-2007,"gold futures climb, score monthly gain of over 2%",positive,0.5267
3306,21-06-2010,gold futures fall on profit-selling,negative,0.0
3307,27-10-2016,"Gold prices tick higher after durable-goods, jobless-claims report",positive,0.0
3308,13-01-2011,"gold turns lower, trades at $1,383.10 an ounce",negative,-0.296
3309,22-09-2006,"gold, silver bounce back on support from traders",positive,0.4019
3310,02-05-2006,spot gold quoted at $667.50 in asia trade,positive,0.0
3311,14-04-2011,here's why gold is about to crash,none,-0.4019
3312,19-11-2013,"gold marks slight gain, holds below $1,280/oz",positive,0.4779
3313,26-03-2012,"gold hits one-week high; dollar, oil eyed",positive,0.0
3314,02-09-2011,newmont mining bucks sell off as gold prices gain,positive,0.5267
3315,29-05-2014,citi: 'odds firmly against' gold companies delivering long-term value,none,0.34
3316,23-08-2016,"Dec. gold down 20 cents at $1,343.20/oz",negative,0.0
3317,24-10-2018,amp capital's naeimi likes gold,none,0.4215
3318,22-07-2013,buy gold on dips; silver to rally: motilal oswal commodity,negative,0.0
3319,13-08-2018,Gold edges down as dollar holds firm near 13-month high,negative,0.0
3320,02-02-2005,april gold moves lower after earlier rise to $424.10,negative,-0.296
3321,14-09-2016,"This is how a Donald Trump presidency would affect the dollar, gold and China",none,0.0
3322,22-03-2002,"stock funds move higher, led by gold",none,0.0
